电影标题,导演,主演,类型,制片国家/地区,上映日期,评分,评价人数,简介,海报URL,评分区间,上映年份
当幸福来敲门,加布里埃莱·穆奇诺,,"剧情, 家庭, 传记",美国,2008-01-17(中国大陆),9.1,,克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,9.0-9.5,2008
教父,弗朗西斯·福特·科波拉,,"剧情, 犯罪",美国,1972-03-15(纽约首映),9.3,,40年代的美国，“教父”维托·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg,9.0-9.5,1972
触不可及,奥利维埃·纳卡什,,"剧情, 喜剧",法国,2011-11-02(法国),9.3,,因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss（奥玛·赛 Omar Sy 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德希斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,9.0-9.5,2011
寻梦环游记,李·昂克里奇,,"喜剧, 动画, 音乐, 奇幻",美国,2017-11-24(中国大陆),9.1,,热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即将来临，每逢这一天，去世的亲人们的魂魄便可凭借着摆在祭坛上的照片返回现世和生者团圆。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg,9.0-9.5,2017
熔炉,黄东赫,,剧情,韩国,2011-09-22(韩国),9.3,,来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学校笼罩着一种紧张压抑的气氛，令人窒息。有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）、贪吃的陈宥利（郑仁絮 饰）和弟弟自杀身亡的全民秀（白承焕 饰），民秀总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,9.0-9.5,2011
大话西游之大圣娶亲,刘镇伟,,"喜剧, 爱情, 奇幻, 古装",中国香港,2014-10-24(中国大陆),9.2,,至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,9.0-9.5,2014
控方证人,比利·怀尔德,,"剧情, 悬疑, 惊悚, 犯罪",美国,2025-12-05(中国大陆),9.6,,伦敦著名刑案辩护律师韦菲爵士（查尔斯·劳顿 Charles Laughton 饰）接受了心脏病治疗，但是身体依旧虚弱，第一天回家休养，护士一直严厉监督他服药，并杜绝烟酒。管家为了便于上楼，还专门为他修了电梯。但是，种种关心照顾，对于这位桀骜不驯、牙尖嘴利的大律师根本不起作用，反倒是一纸诉状令他倍感兴奋。律师梅休和当事人沃尔（泰隆·鲍华 Tyrone Power饰）登门拜访，请他出山打官司。原来，沃尔结识了富婆，两人相见甚欢，虽然仆人对他发明的打蛋器充满鄙夷，但是富婆却对他充满爱意，甚至为他修改了遗嘱，把8万英镑留给了他。然而，富婆却惨遭毒手。于是，沃尔成为警方的头号嫌疑犯。他的唯一证人是妻子克里斯汀（玛琳·黛德丽 Marlene Dietrich饰），然而后者登门时的冷漠与淡定，令韦菲爵士怀疑这其中另有隐情。在扑朔迷离的案件背后，隐藏着一个个环环相扣...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2927451337.jpg,9.5-10.0,2025
无间道,刘伟强,,"剧情, 惊悚, 犯罪",中国香港,2003-09-05(中国大陆),9.3,,1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg,9.0-9.5,2003
放牛班的春天,克里斯托夫·巴哈蒂,,"剧情, 音乐",法国,2004-10-16(中国大陆),9.3,,1949年的法国乡村，音乐家克莱门特（热拉尔·朱尼奥 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗索瓦·贝莱昂 饰）只顾自己的前途，残暴高压。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg,9.0-9.5,2004
机器人总动员,安德鲁·斯坦顿,,"科幻, 动画, 冒险",美国,2008-06-27(美国),9.3,,公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Load Lifters – Earth 地球废品分装员）的机器人担当此重任。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,9.0-9.5,2008
